b,r,c
"(:Blog {path: /blogs/posts/exploring-the-different-styles-of-kalamkari-art, title: Exploring the Different Styles of Kalamkari Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/trove-craft-india, title: Trove Craft India})"
"(:Blog {path: /blogs/posts/love-and-romance-in-indian-miniature-paintings, title: Love and Romance in Indian Miniature Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/trove-craft-india, title: Trove Craft India})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/trove-craft-india, title: Trove Craft India})"
"(:Blog {path: /blogs/posts/paitkar-paintings-storytelling-through-scrolls, title: Paitkar Paintings, storytelling through scrolls})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/trove-craft-india, title: Trove Craft India})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/trove-craft-india, title: Trove Craft India})"
"(:Blog {path: /blogs/art-guides/how-to-pick-your-first-traditional-indian-artwork, title: How to Pick Your First Traditional Indian Artwork})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/trove-craft-india, title: Trove Craft India})"
"(:Blog {path: /blogs/posts/bridal-jewelry-across-india-a-legacy-of-craft-culture-and-captivating-history, title: Bridal Jewelry Across India: A Legacy of Craft, Culture, and Captivating History})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/haryana, title: Haryana})"
"(:Blog {path: /blogs/posts/how-to-start-a-personal-collection-of-indian-folk-paintings, title: How to Start a Personal Collection of Indian Folk Paintings})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/shersingh-bhabor, title: Shersingh Bhabor})"
"(:Blog {path: /blogs/posts/ganjifa-a-kaleidoscope-of-indian-art-and-culture, title: Ganjifa: A kaleidoscope of Indian art and culture})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/md-sayeed-ahmed, title: Md Sayeed Ahmed})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond, title: SIGNATURE PATTERNS IN GOND})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/symbolism-in-indian-tribal-art-forms, title: Symbolism In Indian Tribal Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/bandhani-print-india, title: Bandhani Print: The Art of Tie-Dye in India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/molela-village-a-hidden-gem-of-traditional-crafts, title: Molela Village: A Hidden Gem of Traditional Crafts})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/human-animal-hybrids-as-a-motif-in-indian-folklores, title: Human-Animal Hybrids as a Motif in Indian Folklores})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/doorways-to-culture-art-and-symbolism-of-doors-windows-and-jharokhas-in-india, title: Doorways to culture: Art and symbolism of Doors, Windows, and Jharokhas in India})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
"(:Blog {path: /blogs/posts/patangarh-unveiling-the-riches-of-a-timeless-village, title: Patangarh: Unveiling the Riches of a Timeless Village})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/batik-and-bandhini-artwork, title: Batik and Bandhini Artwork})"
